Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
University of Jaén,Spain,2019,801,1000,25.9,19.0,18.4,13.0,36.1,35.2,34.9,15728,19.2,0.08,0.55,23.7475,856.0
Jamia Millia Islamia,India,2019,801,1000,25.9,19.0,35.1,8.6,31.1,35.0,23.9,11902,10.9,0.02,0.42,25.107499999999998,821.0
Jiangsu University,China,2019,801,1000,25.9,19.0,19.4,11.4,26.9,56.7,35.1,34251,9.5,0.04,0.42,21.359999999999996,920.0
Jikei University School of Medicine,Japan,2019,801,1000,25.9,19.0,27.1,10.7,41.8,38.5,14.8,1041,0.9,,0.46,25.952499999999997,801.0
Jilin University,China,2019,801,1000,25.9,19.0,26.1,16.2,25.7,40.8,28.0,69305,10.7,0.03,0.48,23.52,868.0
Jinan University,China,2019,801,1000,25.9,19.0,20.2,13.7,33.1,39.3,50.9,35904,14.4,0.28,0.59,24.9,826.0
University of Jordan,Jordan,2019,801,1000,25.9,19.0,21.8,9.6,13.2,38.5,65.1,31305,16.7,0.15,0.66,19.224999999999998,988.0
Kagawa University,Japan,2019,801,1000,25.9,19.0,20.4,11.5,29.8,38.7,28.1,6426,9.5,0.02,0.4,21.585,912.0
Kanazawa University,Japan,2019,801,1000,25.9,19.0,26.3,17.9,27.5,36.2,23.0,10430,10.4,0.05,0.36,24.14,841.0
Kansai Medical University,Japan,2019,801,1000,25.9,19.0,28.6,7.9,30.3,34.5,16.9,845,1.2,0.02,0.37,22.169999999999998,898.0
Kaohsiung Medical University,Taiwan,2019,801,1000,25.9,19.0,19.5,21.0,26.8,49.3,26.4,6896,12.0,0.07,0.56,23.402499999999996,871.0
King Juan Carlos University,Spain,2019,801,1000,25.9,19.0,18.2,11.2,35.1,36.4,47.3,36643,26.6,0.14,0.58,23.8075,854.0
King Mongkut’s University of Technology Thonburi,Thailand,2019,801,1000,25.9,19.0,15.8,14.5,25.3,73.2,29.6,16410,22.3,0.01,0.47,20.729999999999997,937.0
K.N. Toosi University of Technology,Iran,2019,801,1000,25.9,19.0,22.2,18.8,25.9,49.3,18.3,6646,21.6,0.01,0.33,22.674999999999997,888.0
Kochi University,Japan,2019,801,1000,25.9,19.0,19.1,10.8,25.5,38.7,25.5,5563,8.2,0.02,0.45,19.500000000000004,979.0
Kumamoto University,Japan,2019,801,1000,25.9,19.0,25.6,13.7,22.5,43.3,27.2,10237,7.7,0.07,0.37,21.662499999999998,908.0
Kuwait University,Kuwait,2019,801,1000,25.9,19.0,17.7,9.4,26.0,36.9,71.9,37207,22.0,0.14,0.73,22.244999999999997,895.0
Kyungpook National University,South Korea,2019,801,1000,25.9,19.0,23.9,25.6,25.1,42.2,26.7,24981,20.4,0.06,0.44,25.4375,813.0
Kyushu Institute of Technology (Kyutech),Japan,2019,801,1000,25.9,19.0,19.3,12.3,23.1,48.0,26.3,5723,16.4,0.04,0.13,19.5825,977.0
University of Latvia,Latvia,2019,801,1000,25.9,19.0,15.9,11.1,24.0,36.2,40.5,15197,13.6,0.05,0.63,19.2425,986.0
Leeds Beckett University,United Kingdom,2019,801,1000,25.9,19.0,14.3,12.5,37.0,34.4,48.8,20099,20.0,0.13,0.5,23.66,861.0
University of Maribor,Slovenia,2019,801,1000,25.9,19.0,18.2,16.1,37.1,39.1,36.6,12571,14.4,0.05,0.54,25.142500000000002,819.0
University of Marrakech Cadi Ayyad,Morocco,2019,801,1000,25.9,19.0,15.8,7.8,28.6,36.3,42.0,85610,55.6,0.01,0.48,19.717499999999998,973.0
University of Mazandaran,Iran,2019,801,1000,25.9,19.0,28.5,11.3,36.3,37.0,16.3,13164,36.2,0.02,0.64,24.9775,824.0
Metropolitan Autonomous University,Mexico,2019,801,1000,25.9,19.0,15.5,15.7,42.2,39.0,24.9,57742,20.1,,0.48,24.8625,828.0
Mohammed V University of Rabat,Morocco,2019,801,1000,25.9,19.0,24.9,8.9,28.6,40.8,28.8,75254,33.1,0.04,0.56,21.9,903.0
University of Murcia,Spain,2019,801,1000,25.9,19.0,27.4,13.2,32.2,35.3,37.6,30233,18.1,0.07,0.61,25.542499999999997,812.0
Nagasaki University,Japan,2019,801,1000,25.9,19.0,24.8,13.8,21.2,40.2,27.2,9144,6.9,0.04,0.37,20.984999999999996,929.0
Nagoya City University,Japan,2019,801,1000,25.9,19.0,22.1,13.0,26.4,45.5,19.8,4385,7.5,0.03,0.52,21.072499999999998,926.0
National Central University,Taiwan,2019,801,1000,25.9,19.0,24.6,22.7,21.6,64.9,37.8,11277,9.7,0.1,0.34,25.1275,820.0
National Chengchi University,Taiwan,2019,801,1000,25.9,19.0,24.3,29.5,9.5,48.9,45.2,14670,17.8,0.16,0.57,23.602500000000003,865.0
National Chung Hsing University,Taiwan,2019,801,1000,25.9,19.0,19.8,15.1,20.2,45.0,22.1,15163,15.5,0.04,0.39,19.312499999999996,985.0
National University of Cuyo,Argentina,2019,801,1000,25.9,19.0,17.1,7.0,29.3,34.0,41.5,45269,10.1,0.08,0.58,19.9825,963.0
National Dong Hwa University,Taiwan,2019,801,1000,25.9,19.0,15.7,25.0,24.8,41.9,35.8,10154,17.9,0.09,0.5,23.382499999999997,873.0
National University of San Martín,Argentina,2019,801,1000,25.9,19.0,15.9,8.5,33.0,34.6,37.7,14981,15.6,0.05,0.66,20.912499999999998,933.0
National University of Sciences and Technology,Pakistan,2019,801,1000,25.9,19.0,20.7,10.0,34.4,34.1,37.5,10446,7.6,0.03,0.35,23.195,875.0
National Taipei University,Taiwan,2019,801,1000,25.9,19.0,19.8,22.8,23.6,35.4,22.4,8580,16.9,0.04,0.54,22.425,894.0
National Taipei University of Technology,Taiwan,2019,801,1000,25.9,19.0,19.6,19.2,22.9,87.5,25.8,10092,16.3,0.08,0.26,22.632499999999997,889.0
National Taiwan Ocean University,Taiwan,2019,801,1000,25.9,19.0,18.0,22.3,16.0,51.8,24.8,8707,21.9,0.07,0.31,20.045,959.0
"National Institute of Technology, Tiruchirappalli",India,2019,801,1000,25.9,19.0,23.5,15.8,29.7,35.7,21.2,5981,18.5,0.07,0.23,23.182499999999997,878.0
Niigata University,Japan,2019,801,1000,25.9,19.0,23.6,12.2,31.5,39.5,24.0,12430,7.9,0.04,0.38,22.9775,882.0
Normandy University,France,2019,801,1000,25.9,19.0,15.6,12.3,40.8,35.8,52.4,66189,20.7,0.11,,25.435,814.0
Northeastern University,China,2019,801,1000,25.9,19.0,21.7,22.8,12.8,98.5,29.0,33718,14.4,0.04,,21.8275,905.0
University of Northern British Columbia (UNBC),Canada,2019,801,1000,25.9,19.0,17.9,16.8,28.5,34.4,37.1,2684,14.2,0.09,0.6,22.6025,890.0
Northwest University,China,2019,801,1000,25.9,19.0,18.6,13.1,33.7,42.0,18.5,23155,14.4,0.03,0.56,22.0575,899.0
NorthWest A&F University,China,2019,801,1000,25.9,19.0,19.0,12.0,29.5,41.8,21.8,29666,15.5,0.01,0.48,20.83,934.0
Novosibirsk State Technical University,Russian Federation,2019,801,1000,25.9,19.0,20.3,11.8,21.4,37.3,32.1,12643,11.6,0.17,0.43,19.389999999999997,982.0
Oakland University,United States,2019,801,1000,25.9,19.0,21.0,12.7,23.4,34.9,26.8,15927,19.3,0.03,0.58,20.0125,961.0
Ocean University of China,China,2019,801,1000,25.9,19.0,20.3,14.8,23.3,47.0,21.8,32161,17.6,0.03,0.52,20.330000000000005,947.0
Okayama University,Japan,2019,801,1000,25.9,19.0,25.9,16.3,26.7,49.4,23.2,13189,7.9,0.04,0.39,23.645,862.0
Osaka City University,Japan,2019,801,1000,25.9,19.0,25.1,14.0,28.0,40.0,24.3,8325,8.8,0.04,0.36,22.952500000000004,883.0
Osmania University,India,2019,801,1000,25.9,19.0,37.2,9.4,15.2,34.2,15.7,12017,16.3,0.03,0.29,20.572499999999998,941.0
University of Ostrava,Czech Republic,2019,801,1000,25.9,19.0,14.6,12.7,26.4,34.1,40.5,9382,20.4,0.07,0.7,20.0,962.0
Pablo de Olavide University,Spain,2019,801,1000,25.9,19.0,24.0,13.2,32.9,34.5,50.0,12025,15.2,0.17,0.6,25.6425,809.0
Paris Nanterre University,France,2019,801,1000,25.9,19.0,23.2,14.5,15.1,34.3,48.0,32735,35.0,0.17,0.62,20.2975,949.0
University of Patras,Greece,2019,801,1000,25.9,19.0,16.4,12.5,41.7,39.4,36.2,26098,29.9,0.04,0.49,24.88,827.0
Pondicherry University,India,2019,801,1000,25.9,19.0,34.1,16.1,22.2,34.0,14.0,6185,17.0,,0.38,23.62,864.0
Pontifical Catholic University of Peru,Peru,2019,801,1000,25.9,19.0,19.5,7.9,43.7,34.3,48.9,22322,7.0,0.03,0.47,25.854999999999997,803.0
Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,2019,801,1000,25.9,19.0,16.8,11.0,39.5,48.9,26.3,19398,23.2,,0.5,23.384999999999998,872.0
Universiti Putra Malaysia,Malaysia,2019,801,1000,25.9,19.0,26.9,18.5,18.1,38.1,64.1,23853,10.2,0.2,0.64,24.809999999999995,829.0
Riga Technical University,Latvia,2019,801,1000,25.9,19.0,17.9,15.6,30.4,50.7,36.2,10564,26.6,0.1,0.34,23.152499999999996,879.0
Robert Gordon University,United Kingdom,2019,801,1000,25.9,19.0,15.0,10.5,21.0,34.8,72.4,9406,18.0,0.23,0.61,20.25,953.0
University of Roehampton,United Kingdom,2019,801,1000,25.9,19.0,17.9,19.8,23.4,34.1,74.9,7692,17.1,0.29,0.72,24.799999999999997,830.0
Saitama University,Japan,2019,801,1000,25.9,19.0,18.3,12.6,22.8,35.2,29.4,8602,13.7,0.05,0.33,19.194999999999997,993.0
Samara University,Russian Federation,2019,801,1000,25.9,19.0,19.2,12.2,43.3,46.0,24.9,9934,10.3,0.07,0.51,25.427499999999995,815.0
São Paulo State University (UNESP),Brazil,2019,801,1000,25.9,19.0,37.1,19.9,14.7,35.4,25.1,30718,9.7,0.04,0.49,24.277500000000003,837.0
Sapporo Medical University,Japan,2019,801,1000,25.9,19.0,29.0,11.4,26.3,44.1,14.8,1332,3.5,,0.41,22.222499999999997,896.0
University of Science and Technology Beijing,China,2019,801,1000,25.9,19.0,24.3,23.0,23.4,54.0,18.8,24090,14.9,0.04,0.36,23.970000000000002,846.0
University of Seoul,South Korea,2019,801,1000,25.9,19.0,23.3,20.9,25.0,40.3,27.8,8857,16.8,0.05,,23.8525,851.0
University of Sfax,Tunisia,2019,801,1000,25.9,19.0,24.8,10.0,20.2,34.0,39.3,33185,14.4,0.01,0.67,20.2975,949.0
Shahid Beheshti University,Iran,2019,801,1000,25.9,19.0,19.1,18.6,29.9,48.9,17.4,18263,21.3,0.01,0.52,22.8075,887.0
Shahid Beheshti University of Medical Sciences,Iran,2019,801,1000,25.9,19.0,40.8,12.0,19.7,38.4,15.5,12604,9.0,0.01,0.62,23.8725,849.0
Shanghai University,China,2019,801,1000,25.9,19.0,19.4,24.2,29.2,68.2,30.6,36382,13.4,0.06,0.47,25.839999999999996,804.0
Shantou University,China,2019,801,1000,25.9,19.0,20.4,12.2,37.2,37.5,40.9,9981,11.0,0.01,0.51,24.944999999999997,825.0
University of Sharjah,United Arab Emirates,2019,801,1000,25.9,19.0,16.0,10.3,24.4,38.1,99.1,13957,23.1,0.63,0.65,23.595,866.0
Sheffield Hallam University,United Kingdom,2019,801,1000,25.9,19.0,16.7,12.6,32.2,34.4,51.8,24924,16.6,0.14,0.55,23.195,875.0
Shinshu University,Japan,2019,801,1000,25.9,19.0,21.0,14.4,26.9,41.5,23.6,10700,9.9,0.03,0.32,21.4975,916.0
Shiraz University,Iran,2019,801,1000,25.9,19.0,22.1,22.4,21.4,60.4,17.1,13861,20.7,,0.49,22.5625,891.0
Sidi Mohamed Ben Abdellah University,Morocco,2019,801,1000,25.9,19.0,22.2,7.2,40.8,34.1,24.7,94163,63.2,0.02,0.4,23.764999999999997,855.0
Sohag University,Egypt,2019,801,1000,25.9,19.0,18.5,7.1,38.9,34.3,43.6,48895,28.2,,0.58,23.4775,869.0
Southern Medical University,China,2019,801,1000,25.9,19.0,26.5,11.2,19.8,39.0,21.6,18658,6.5,0.05,0.59,19.845000000000002,968.0
University of South Wales,United Kingdom,2019,801,1000,25.9,19.0,14.9,9.5,28.5,34.5,62.2,16500,17.5,0.2,0.52,21.3975,917.0
Sri Venkateswara University,India,2019,801,1000,25.9,19.0,36.6,9.7,27.2,34.6,19.1,7747,17.3,,0.4,24.3475,836.0
Staffordshire University,United Kingdom,2019,801,1000,25.9,19.0,16.3,9.3,38.4,34.2,50.8,9456,15.3,0.14,0.5,23.865,850.0
Sultan Qaboos University,Oman,2019,801,1000,25.9,19.0,22.6,10.5,16.8,40.8,72.0,7624,8.9,0.03,0.5,21.389999999999997,919.0
Suranaree University of Technology,Thailand,2019,801,1000,25.9,19.0,19.7,11.3,35.1,40.5,32.1,15068,31.9,0.01,0.54,23.249999999999996,874.0
University of Talca,Chile,2019,801,1000,25.9,19.0,13.0,10.8,25.2,34.0,50.5,10628,23.6,0.01,0.52,19.3375,984.0
Tanta University,Egypt,2019,801,1000,25.9,19.0,32.8,7.2,26.1,34.1,40.4,138971,28.2,0.02,0.56,23.7125,857.0
Teesside University,United Kingdom,2019,801,1000,25.9,19.0,15.4,10.0,39.9,34.3,52.6,11580,17.9,0.12,0.56,24.3925,835.0
Universiti Tenaga Nasional (UNITEN),Malaysia,2019,801,1000,25.9,19.0,15.7,13.1,24.6,81.0,35.1,7893,17.7,0.07,0.4,20.6775,938.0
Texas State University,United States,2019,801,1000,25.9,19.0,17.4,11.7,24.4,34.4,30.5,31120,19.7,0.01,0.58,19.1975,991.0
Thapar University,India,2019,801,1000,25.9,19.0,19.9,9.1,34.0,35.7,18.5,7503,15.5,0.01,0.28,21.18,922.0
Toho University,Japan,2019,801,1000,25.9,19.0,18.2,13.8,24.6,38.7,16.9,5096,13.4,,0.5,19.215,989.0
Tokushima University,Japan,2019,801,1000,25.9,19.0,25.3,18.8,15.6,58.6,21.2,7566,8.8,0.02,0.35,20.965,931.0
Tokyo University of Agriculture and Technology,Japan,2019,801,1000,25.9,19.0,26.1,23.6,20.2,46.6,23.9,5795,14.9,0.06,0.3,23.9275,848.0
Tokyo Medical University,Japan,2019,801,1000,25.9,19.0,29.4,11.4,36.6,36.9,16.1,1333,1.5,,0.5,25.349999999999998,817.0
Tokyo University of Science,Japan,2019,801,1000,25.9,19.0,21.0,24.5,23.3,41.2,19.4,19162,24.8,0.02,0.21,23.125,880.0
Toyohashi University of Technology (TUT),Japan,2019,801,1000,25.9,19.0,20.4,17.6,17.7,47.2,25.3,2350,9.9,0.07,0.09,19.787499999999998,970.0
Tribhuvan University,Nepal,2019,801,1000,25.9,19.0,9.2,6.6,35.7,34.0,45.2,359377,44.6,,0.44,19.69,974.0
Tshwane University of Technology,South Africa,2019,801,1000,25.9,19.0,13.1,9.8,36.9,38.2,40.2,42846,32.3,0.02,0.52,21.909999999999997,902.0
Universiti Utara Malaysia,Malaysia,2019,801,1000,25.9,19.0,27.6,20.2,3.7,36.9,53.2,13171,12.1,0.23,0.65,20.362499999999997,946.0
Vilnius University,Lithuania,2019,801,1000,25.9,19.0,18.5,13.8,32.3,42.7,50.0,16773,11.6,0.08,0.65,24.197499999999998,840.0
VIT University,India,2019,801,1000,25.9,19.0,18.4,10.8,28.7,36.8,23.4,30941,17.9,0.03,0.27,20.044999999999995,960.0
Warsaw University of Technology,Poland,2019,801,1000,25.9,19.0,18.2,10.6,38.1,39.5,24.6,31672,13.4,0.05,0.34,22.9025,884.0
Wuhan University of Technology,China,2019,801,1000,25.9,19.0,17.0,12.1,31.6,54.4,21.4,50924,14.0,0.03,0.3,21.175,923.0
Xiangtan University,China,2019,801,1000,25.9,19.0,13.3,11.2,46.8,38.2,17.8,30928,21.2,0.01,0.53,23.68,860.0
Xidian University,China,2019,801,1000,25.9,19.0,20.3,16.1,24.4,75.3,19.3,33258,17.4,0.02,0.29,21.57,913.0
Yamagata University,Japan,2019,801,1000,25.9,19.0,21.1,11.5,20.9,52.8,21.1,8955,8.6,0.01,0.35,18.952499999999997,1000.0
University of Yamanashi,Japan,2019,801,1000,25.9,19.0,24.2,10.7,23.8,36.5,20.8,4725,6.4,0.04,0.31,20.0825,957.0
Yangzhou University,China,2019,801,1000,25.9,19.0,14.1,9.4,37.0,40.6,19.4,36362,16.0,0.03,0.55,20.619999999999997,940.0
Yokohama National University,Japan,2019,801,1000,25.9,19.0,22.9,17.8,15.0,49.3,24.9,9972,12.6,0.07,0.29,19.810000000000002,969.0
University of Zagreb,Croatia,2019,801,1000,25.9,19.0,17.5,12.7,23.0,37.0,29.6,66967,18.7,0.01,0.5,19.104999999999997,997.0
Ain Shams University,Egypt,2019,1001,1257,18.9,9.8,17.6,8.7,17.4,35.5,36.1,171700,17.4,0.03,0.52,16.705,1085.0
Akdeniz University,Turkey,2019,1001,1257,18.9,9.8,13.6,14.3,16.5,96.5,19.6,50491,32.0,0.03,0.55,17.2025,1063.0
Akita University,Japan,2019,1001,1257,18.9,9.8,19.5,9.5,9.4,40.3,21.2,5074,9.2,0.04,0.35,14.1175,1170.0
Al-Azhar University,Egypt,2019,1001,1257,18.9,9.8,13.3,8.4,12.6,34.1,46.7,318158,41.9,0.05,0.44,14.645,1152.0
Alexandru Ioan Cuza University,Romania,2019,1001,1257,18.9,9.8,15.3,11.4,12.9,34.0,36.1,23255,19.1,0.06,0.65,15.437499999999998,1132.0
Alzahra University,Iran,2019,1001,1257,18.9,9.8,17.0,9.2,20.1,35.5,14.1,10590,24.4,0.01,1.0,15.834999999999999,1125.0
Amity University,India,2019,1001,1257,18.9,9.8,14.9,8.5,15.6,35.4,19.0,27278,14.0,0.05,0.43,14.01,1175.0
"University of the Andes, Venezuela",Venezuela,2019,1001,1257,18.9,9.8,13.2,7.4,9.5,34.0,44.8,47565,19.0,,0.62,13.239999999999998,1194.0
Andhra University,India,2019,1001,1257,18.9,9.8,37.4,9.9,5.0,42.5,17.0,9752,16.8,0.04,0.51,18.0275,1033.0
Andrés Bello University (UNAB),Chile,2019,1001,1257,18.9,9.8,11.8,7.4,27.8,34.2,48.5,44436,23.5,0.01,0.52,18.5925,1015.0
Ankara University,Turkey,2019,1001,1257,18.9,9.8,18.1,9.6,11.6,34.6,21.7,69324,18.0,0.04,0.52,14.2825,1163.0
Annamalai University,India,2019,1001,1257,18.9,9.8,26.0,8.1,16.7,34.4,15.4,27369,14.1,0.02,0.42,17.255,1061.0
University of Antioquia,Colombia,2019,1001,1257,18.9,9.8,16.4,20.4,13.0,40.2,38.0,40505,23.3,,0.51,18.794999999999998,1005.0
Aoyama Gakuin University,Japan,2019,1001,1257,18.9,9.8,18.1,7.3,24.6,34.3,25.1,19520,8.2,0.03,0.47,17.740000000000002,1043.0
Assiut University,Egypt,2019,1001,1257,18.9,9.8,14.1,7.2,19.9,34.0,44.3,79183,17.9,,0.45,16.5325,1093.0
Autonomous University of Baja California,Mexico,2019,1001,1257,18.9,9.8,12.4,8.4,6.8,34.8,29.7,59812,20.4,0.02,0.53,11.3775,1245.0
Autonomous University of Hidalgo State (UAEH),Mexico,2019,1001,1257,18.9,9.8,14.0,8.0,5.4,36.0,22.3,33839,17.9,,0.56,10.792499999999999,1252.0
Autonomous University of Nuevo León,Mexico,2019,1001,1257,18.9,9.8,12.3,7.5,10.1,35.0,29.4,102466,27.2,0.01,,12.049999999999999,1235.0
Autonomous University of Puebla,Mexico,2019,1001,1257,18.9,9.8,13.3,7.6,13.7,34.0,24.8,78390,35.2,,0.53,13.089999999999998,1202.0
Autonomous University of San Luis Potosi,Mexico,2019,1001,1257,18.9,9.8,18.1,7.2,10.7,34.6,31.7,31102,9.3,0.01,0.5,14.0425,1173.0
Autonomous University of the State of Mexico,Mexico,2019,1001,1257,18.9,9.8,13.8,10.0,7.3,44.0,25.0,57087,23.2,,0.59,12.305,1231.0
Autonomous University of Yucatán,Mexico,2019,1001,1257,18.9,9.8,14.3,7.9,11.5,36.9,27.2,16570,14.9,,0.49,13.072499999999998,1206.0
Badji Mokhtar University – Annaba,Algeria,2019,1001,1257,18.9,9.8,13.4,9.3,13.0,34.1,32.7,40514,33.6,0.01,0.52,14.015,1174.0
Bahauddin Zakariya University,Pakistan,2019,1001,1257,18.9,9.8,12.3,8.5,13.9,34.0,31.3,24532,30.2,,0.44,13.6075,1184.0
Bahçeşehir University,Turkey,2019,1001,1257,18.9,9.8,15.3,12.3,18.5,41.1,40.6,14159,34.2,0.12,0.48,17.9025,1040.0
Belarusian State University,Belarus,2019,1001,1257,18.9,9.8,19.5,8.7,10.8,39.0,56.7,29230,9.2,0.08,0.65,16.927500000000002,1079.0
University of Bío-Bío,Chile,2019,1001,1257,18.9,9.8,12.8,7.9,5.9,36.5,43.8,12893,24.7,0.01,0.42,12.1775,1234.0
University of Birjand,Iran,2019,1001,1257,18.9,9.8,15.2,7.9,7.7,34.2,15.3,11347,28.7,0.01,0.56,11.2425,1248.0
Birmingham City University,United Kingdom,2019,1001,1257,18.9,9.8,14.7,9.9,18.5,34.3,57.9,19618,18.8,0.22,0.62,18.130000000000003,1029.0
Bogor Agricultural University,Indonesia,2019,1001,1257,18.9,9.8,17.7,8.9,10.9,65.4,33.7,23044,13.1,0.01,0.58,15.4125,1133.0
Bucharest University of Economic Studies,Romania,2019,1001,1257,18.9,9.8,14.7,8.2,14.6,34.0,31.1,21447,11.8,0.03,0.47,14.4325,1160.0
Canterbury Christ Church University,United Kingdom,2019,1001,1257,18.9,9.8,15.6,11.3,13.2,34.0,42.5,11728,18.7,0.12,0.67,16.0675,1114.0
Catholic University of the North,Chile,2019,1001,1257,18.9,9.8,13.5,11.0,16.6,34.5,52.1,11669,20.5,0.02,0.45,17.1,1070.0
Ceará State University,Brazil,2019,1001,1257,18.9,9.8,16.2,7.7,8.6,34.0,16.1,17934,16.3,,0.56,11.8075,1240.0
Chaoyang University of Technology,Taiwan,2019,1001,1257,18.9,9.8,12.0,10.8,4.7,41.4,22.5,17017,43.3,0.08,0.56,10.9725,1250.0
University of Chester,United Kingdom,2019,1001,1257,18.9,9.8,16.3,11.9,20.7,35.1,43.2,10303,17.5,0.1,0.66,18.787499999999998,1007.0
Chiba Institute of Technology,Japan,2019,1001,1257,18.9,9.8,13.6,8.8,6.3,36.4,16.0,9774,30.7,0.01,0.12,10.72,1253.0
Chubu University,Japan,2019,1001,1257,18.9,9.8,12.5,9.5,14.3,36.3,25.7,12661,24.8,0.01,0.26,13.725000000000001,1181.0
Chungnam National University,South Korea,2019,1001,1257,18.9,9.8,21.7,19.9,11.6,40.5,22.7,22773,21.7,0.04,0.44,18.675,1013.0
Chuo University,Japan,2019,1001,1257,18.9,9.8,26.1,9.8,14.1,36.4,21.5,26698,37.9,0.04,0.35,17.5225,1050.0
Cochin University of Science and Technology,India,2019,1001,1257,18.9,9.8,21.7,10.0,7.2,34.7,14.5,8147,19.2,,0.36,13.625,1183.0
University of Colombo,Sri Lanka,2019,1001,1257,18.9,9.8,24.8,7.8,10.7,34.0,39.8,29464,29.5,,0.56,16.825,1083.0
University of Concepción,Chile,2019,1001,1257,18.9,9.8,14.8,13.3,18.2,55.1,48.5,27077,17.5,0.01,0.51,18.905,1001.0
University of Constantine 1,Algeria,2019,1001,1257,18.9,9.8,17.6,7.2,7.1,34.8,37.5,33735,19.4,,0.55,13.2525,1192.0
Corvinus University of Budapest,Hungary,2019,1001,1257,18.9,9.8,15.5,11.2,20.3,34.2,42.8,10404,24.7,0.14,0.54,18.165,1027.0
Cukurova University,Turkey,2019,1001,1257,18.9,9.8,14.4,12.4,11.2,87.6,19.1,41446,18.7,0.04,0.45,15.022499999999999,1143.0
University of Dar es Salaam,Tanzania,2019,1001,1257,18.9,9.8,14.4,8.2,18.5,34.0,45.6,25282,15.2,,0.33,16.599999999999998,1090.0
Del Rosario University,Colombia,2019,1001,1257,18.9,9.8,15.6,8.9,18.1,34.2,45.6,9568,12.5,0.01,,17.055000000000003,1072.0
Democritus University of Thrace,Greece,2019,1001,1257,18.9,9.8,13.6,8.1,28.0,34.9,30.3,29386,46.9,0.03,0.54,18.055,1031.0
Dokuz Eylül University,Turkey,2019,1001,1257,18.9,9.8,14.7,8.9,16.4,40.3,17.6,63639,19.2,0.02,0.47,14.327499999999999,1162.0
Doshisha University,Japan,2019,1001,1257,18.9,9.8,14.5,9.2,6.4,35.1,26.8,28311,18.9,0.04,0.4,11.917499999999999,1237.0
"University of Economics, Prague",Czech Republic,2019,1001,1257,18.9,9.8,16.8,12.7,6.5,34.4,44.3,14945,29.2,0.22,0.54,14.982499999999998,1145.0
Ehime University,Japan,2019,1001,1257,18.9,9.8,21.0,13.8,17.7,41.7,25.5,9419,12.8,0.03,0.37,18.705000000000002,1012.0
The University of Electro-Communications,Japan,2019,1001,1257,18.9,9.8,18.4,18.6,13.2,40.3,28.0,4806,15.7,0.06,0.11,18.1675,1026.0
University of Engineering & Technology (UET) Lahore,Pakistan,2019,1001,1257,18.9,9.8,14.4,7.7,13.8,34.2,43.8,12467,13.9,0.02,0.23,14.91,1147.0
Far Eastern Federal University,Russian Federation,2019,1001,1257,18.9,9.8,20.7,10.5,10.3,38.6,39.3,15480,9.4,0.15,,16.3625,1097.0
Federal University of Ceará (UFC),Brazil,2019,1001,1257,18.9,9.8,22.4,9.9,21.4,36.0,24.1,31719,14.6,0.01,0.47,18.8175,1004.0
Federal University of Goiás,Brazil,2019,1001,1257,18.9,9.8,18.5,9.4,13.3,37.6,18.3,29558,13.3,,0.44,14.6725,1151.0
Federal University of Itajubá,Brazil,2019,1001,1257,18.9,9.8,15.7,8.6,10.2,36.6,21.4,8997,18.2,0.01,0.29,12.869999999999997,1213.0
Federal University of Lavras,Brazil,2019,1001,1257,18.9,9.8,25.2,13.3,7.8,37.6,17.9,15389,22.1,0.01,0.52,16.1725,1108.0
Federal University of Pará,Brazil,2019,1001,1257,18.9,9.8,16.1,9.1,9.6,34.5,23.2,49435,20.7,,0.56,13.042500000000002,1209.0
Federal University of Paraná (UFPR),Brazil,2019,1001,1257,18.9,9.8,19.6,11.0,10.1,34.0,20.8,32952,12.8,,0.51,14.62,1153.0
Federal University of Pernambuco,Brazil,2019,1001,1257,18.9,9.8,23.6,8.9,14.1,36.7,21.4,38264,14.7,0.01,0.5,16.5025,1095.0
Federal University of Rio Grande do Norte (UFRN),Brazil,2019,1001,1257,18.9,9.8,18.7,8.4,16.0,41.9,22.1,39365,16.3,,0.56,15.635,1127.0
Federal University of Santa Maria,Brazil,2019,1001,1257,18.9,9.8,18.4,8.4,11.4,35.8,16.5,26334,13.8,,0.56,13.5925,1185.0
Federal University of Technology – Paraná,Brazil,2019,1001,1257,18.9,9.8,14.3,8.6,7.2,36.8,18.1,33025,13.2,0.01,0.36,11.3075,1247.0
Federal University of Uberlândia,Brazil,2019,1001,1257,18.9,9.8,23.7,9.2,9.7,34.3,16.7,20461,11.5,,,14.889999999999999,1149.0
Federal University of Viçosa,Brazil,2019,1001,1257,18.9,9.8,27.5,13.4,10.6,45.8,19.4,17340,14.6,0.02,0.51,18.049999999999997,1032.0
Feng Chia University,Taiwan,2019,1001,1257,18.9,9.8,15.3,16.7,16.6,39.5,36.8,19811,23.3,0.15,0.37,18.3275,1022.0
Fluminense Federal University,Brazil,2019,1001,1257,18.9,9.8,16.7,9.6,11.0,34.3,24.6,68410,19.0,,0.49,13.8925,1178.0
University of Fukui,Japan,2019,1001,1257,18.9,9.8,20.3,11.0,7.2,39.6,20.2,4999,9.2,0.04,0.29,14.055000000000001,1171.0
